relative_keyword,total_search,total_store,competitive_rate
천연치약,1600.0,10521.0,6.575625
치과칫솔,5300.0,69732.0,13.156981132075472
대나무칫솔,6100.0,40597.0,6.655245901639344
켄트칫솔,22720.0,19487.0,0.8577024647887324
온열안대,15460.0,47927.0,3.10006468305304
렌즈세척액,5420.0,8896.0,1.6413284132841328
온열수면안대,1530.0,25741.0,16.824183006535947
생리식염수,15680.0,1725.0,0.11001275510204081
눈온열안대,1020.0,41798.0,40.97843137254902
식염수,14400.0,9495.0,0.659375
안경세척기,4130.0,90689.0,21.95859564164649
보스톤심플러스,2970.0,927.0,0.31212121212121213
에이오셉,3100.0,358.0,0.11548387096774193
리뉴,11670.0,107864.0,9.242844901456726
무지외반증교정기,14060.0,12519.0,0.890398293029872
전동발각질제거기,2350.0,37617.0,16.00723404255319
발뒤꿈치각질제거,9390.0,78099.0,8.317252396166134
공기압마사지기,2840.0,75301.0,26.51443661971831
지압슬리퍼,20670.0,129442.0,6.262312530237058
공기압다리마사지기,7230.0,53480.0,7.396957123098202
건식족욕기,20020.0,46520.0,2.323676323676324
손마사지기,24270.0,36044.0,1.4851256695508859
눈마사지기,22440.0,86278.0,3.844830659536542
괄사마사지기,13160.0,71580.0,5.439209726443769
안마매트,6060.0,114673.0,18.922937293729372
소형안마의자,4330.0,15425.0,3.5623556581986144
승모근마사지기,6150.0,62340.0,10.136585365853659
바디괄사,2710.0,43021.0,15.87490774907749
슈케이스,6470.0,42841.0,6.621483771251932
섬유탈취제,19960.0,97569.0,4.888226452905812
곰팡이제거제,22210.0,125925.0,5.6697433588473665
바퀴벌레약,17420.0,33944.0,1.948564867967853
옷장방향제,5110.0,43972.0,8.60508806262231
피톤치드스프레이,5350.0,19994.0,3.737196261682243
실내공기정화식물,3620.0,76796.0,21.21436464088398
인형꽃다발,17670.0,54706.0,3.0959818902093943
졸업식꽃다발,11370.0,49400.0,4.34476693051891
승진화분,2830.0,83465.0,29.492932862190813
씨감자,1730.0,501.0,0.28959537572254335
킨더조이꽃다발,16080.0,4865.0,0.3025497512437811
비누꽃다발,7670.0,75442.0,9.835984354628422
올리브나무,22770.0,52213.0,2.2930610452349582
제초매트,6570.0,38289.0,5.827853881278539
수경재배기,4680.0,110021.0,23.508760683760684
모두싹,2280.0,4053.0,1.7776315789473685
닌텐도스위치라이트,27240.0,58435.0,2.1451908957415564
닌텐도스위치스포츠,15740.0,9722.0,0.6176620076238882
닌텐도스위치조이콘,13660.0,81768.0,5.985944363103953
링피트,13540.0,58949.0,4.353692762186115
