relative_keyword,total_search,total_store
섬유탈취제,19960.0,97569.0
피톤치드,22680.0,137232.0
차량방향제,21590.0,775301.0
제습제,15410.0,376545.0
각티슈,24180.0,429085.0
곰팡이제거제,22210.0,125925.0
바퀴벌레약,17420.0,33944.0
탈취제,14340.0,1138573.0
옷장방향제,5110.0,43972.0
두루마리휴지,27230.0,210989.0
피톤치드스프레이,5350.0,19994.0
공기정화식물,25010.0,318537.0
거실화분,13780.0,502508.0
실내공기정화식물,3620.0,76796.0
인형꽃다발,17670.0,54706.0
비누꽃,6740.0,196889.0
졸업식꽃다발,11370.0,49400.0
승진화분,2830.0,83465.0
씨감자,1730.0,501.0
축하화분,6190.0,197797.0
개업축하화분,5690.0,153795.0
킨더조이꽃다발,16080.0,4865.0
비누꽃다발,7670.0,75442.0
올리브나무,22770.0,52213.0
다육이,24740.0,1422165.0
화분받침대,14230.0,707423.0
식물재배기,5340.0,134743.0
식물영양제,7080.0,164041.0
플라스틱화분,6020.0,545344.0
토분,12870.0,332267.0
화분선반,9960.0,646795.0
미니비닐하우스,13510.0,141090.0
자갈,6870.0,391534.0
대형화분,10160.0,535053.0
다육이화분,5750.0,817433.0
식물지지대,3400.0,223369.0
제초매트,6570.0,38289.0
텃밭,7050.0,1209736.0
화분정리대,5130.0,303085.0
수경재배기,4680.0,110021.0
모두싹,2280.0,4053.0
수국,24500.0,185801.0
레트로게임기,19690.0,337579.0
닌텐도스위치케이스,8280.0,145691.0
게임패드,11170.0,704350.0
닌텐도스위치라이트,27240.0,58435.0
닌텐도스위치스포츠,15740.0,9722.0
닌텐도스위치조이콘,13660.0,81768.0
컨트롤러,9030.0,3882493.0
링피트,13540.0,58949.0
게이밍컴퓨터,28420.0,1753438.0
데스크탑,27990.0,4361991.0
중고컴퓨터,17810.0,221738.0
조립컴퓨터,23380.0,342544.0
사무용컴퓨터,9120.0,739130.0
