relative_keyword,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
그린핑거,1,0,1,2,3,3,25,9,39097,977
강아지닭가슴살,1,3,12,10,0,2,23,15,163699,4092
매실청,8,9,13,9,2,3,14,21,173328,4333
금산인삼,6,12,15,1,10,2,17,11,120215,3005
썬부탄가스,11,5,11,13,25,0,10,5,15607,390
마더케이건티슈,4,0,5,30,30,3,4,3,16491,412
문어로드,2,2,24,6,12,4,19,5,14661,366
샤인머스켓2KG,11,9,15,5,10,1,23,6,27910,697
듀먼화식,1,0,22,10,21,3,6,10,36640,916
매셔,0,0,4,1,31,2,5,2,13192,329
국산고추가루1KG,5,2,11,7,8,8,15,9,33734,843
하림삼계탕,1,1,0,1,29,2,8,1,5364,134
차량용맥세이프거치대,0,4,4,0,1,3,22,14,53483,1337
맥세이프차량용거치대,0,4,4,0,1,3,22,14,53483,1337
전병,0,2,11,3,9,4,18,9,95337,2383
80L배터리,1,2,20,9,15,3,14,8,36560,914
브라운면도기세척액,6,3,15,16,14,6,12,8,43558,1088
하수구뚫음기계,16,3,6,0,33,2,3,2,4706,117
토종닭,5,9,15,11,3,5,20,12,31737,793
스폰텍스,6,1,5,6,37,0,2,1,7363,184
시마노클릿페달,1,0,12,4,14,6,19,1,9371,234
캐리어바퀴수리,6,2,8,3,28,1,7,4,15214,380
영화관람권,3,5,16,10,10,0,14,16,78768,1969
에어호스릴,0,2,7,0,30,3,5,2,7777,194
VFLAT,10,3,14,13,37,0,3,0,1157,28
릴선,8,9,17,6,15,4,15,6,26347,658
흑염의지배자,5,6,13,1,23,0,8,9,42673,1066
여성골프샤워가운,4,6,8,0,20,4,11,5,11471,286
메뉴판거치대,2,3,10,0,24,0,14,2,11668,291
일본지갑,6,16,12,0,13,6,18,3,16059,401
유도도복,10,0,0,0,40,0,0,0,124,3
오토바이방한복,10,6,18,1,28,2,8,2,5688,142
2인용전기방석,2,4,20,2,3,9,15,13,33714,842
비오투름,3,5,17,10,22,5,9,4,19833,495
가자미,3,7,19,11,5,4,13,18,105448,2636
전병과자,2,4,15,3,10,2,18,10,84058,2101
트레비300,0,5,11,19,14,2,6,18,164861,4121
누룽지가마솥,15,7,8,10,28,1,11,0,4394,109
배드민턴줄,0,1,6,1,27,3,10,0,2422,60
나랑드사이다,1,2,16,5,5,2,17,16,134606,3365
얼음보관통,7,4,10,2,16,0,17,7,34521,863
유리문도어락,1,5,18,15,10,5,19,6,23423,585
쏜리서치조인트서포트뉴트리언트,4,6,18,12,25,2,11,2,7517,187
사이노퀸,4,2,14,15,13,3,16,8,74715,1867
파워볼,0,2,4,1,30,2,7,1,5118,127
매일두유,3,8,6,14,13,5,10,12,361456,9036
국내산들기름,10,8,18,3,8,5,21,6,32606,815
결재도장,1,4,19,0,2,1,15,22,162633,4065
NVMEM.2SSD,2,3,4,19,20,7,10,3,10766,269
토리베가위,5,4,7,2,29,5,4,2,5524,138
머스크메론,10,5,19,5,14,5,11,10,46921,1173
