relative_keyword,total_search,total_store,competitive_rate,avg_price,avg_sale
해바라기보석십자수,1550.0,103607.0,66.84322580645161,20839.0,1639653.0
양말목,17600.0,27357.0,1.554375,6371.0,515405.0
힙분유,16760.0,4673.0,0.2788186157517899,79285.0,7989814.0
압타밀,29560.0,12185.0,0.412212449255751,80595.0,8606622.0
앱솔루트명작,15990.0,6544.0,0.409255784865541,54462.0,3416428.0
앱솔루트명작1단계,5280.0,2295.0,0.4346590909090909,60699.0,404660.0
아이엠마더1단계,5300.0,3549.0,0.669622641509434,82694.0,1976083.0
아이엠마더,14600.0,9810.0,0.6719178082191781,43651.0,1834342.0
산양분유,10580.0,19138.0,1.8088846880907368,43089.0,5590778.0
위드맘,6160.0,12436.0,2.0188311688311686,58102.0,100716.0
위드맘1단계,2770.0,3115.0,1.124548736462094,99200.0,110411.0
액상분유,8090.0,9649.0,1.1927070457354758,31802.0,4286623.0
천기저귀,9110.0,49054.0,5.384632272228321,20697.0,1226965.0
페넬로페기저귀,7540.0,2612.0,0.346419098143236,27201.0,9481600.0
쿠잉기저귀,3510.0,5336.0,1.5202279202279203,40539.0,366931.0
