relative_keyword,avg_sale
범보의자,3304356.0
아기소파,1673325.0
아기턱받이,4395332.0
아기식판,2103870.0
흡착식판,2784707.0
릴리팟이유식냄비,819391.0
와우컵,249400.0
실리콘턱받이,987033.0
그로미미빨대컵,4461119.0
베이비뵨턱받이,21666.0
그로미미,3099025.0
주니자기주도컵,
임산부수영복,790421.0
수유브라,2710813.0
임산부스타킹,389343.0
수유복,917594.0
임산부팬티,1914005.0
임산부레깅스,806055.0
맘스안심팬티,1203805.0
수유나시,1459694.0
겨울임부복,1539280.0
제이유블랑,
디라벨,
수유원피스,698659.0
튼살크림,5505506.0
임산부튼살크림,4664411.0
임산부바디필로우,1242058.0
비오템튼살크림,2578389.0
임밍아웃,195603.0
도넛방석,583287.0
란시노라놀린크림,16319.0
임산부손목보호대,631925.0
아토팜튼살크림,3960292.0
임산부크림,4816471.0
임밍아웃이벤트,148952.0
해피테일즈바디필로우,17782973.0
임산부샴푸,2014272.0
U자바디필로우,1032505.0
클라란스튼살크림,291646.0
산모패드,751626.0
회음부방석,695373.0
란시노크림,39863.0
겉싸개,989108.0
아기블랭킷,2840039.0
속싸개,7467590.0
마이리틀데이지,8702328.0
낮잠이불세트,3482385.0
어린이집낮잠이불,4048181.0
아기침대패드,4870425.0
비비엔다,21220777.0
아기겨울이불,2078585.0
낮잠이불가방,1228568.0
아기토퍼,579975.0
돌상대여,3008421.0
할로윈구디백,9015.0
50일셀프촬영,820237.0
백일상,3496122.0
유치보관함,965411.0
성장동영상,1046404.0
패딩우주복,667969.0
아기우주복,1443882.0
에뜨와우주복,507780.0
아기크리스마스옷,788364.0
우주복패딩,601414.0
밍크뮤우주복,145928.0
아가방우주복,242608.0
아기손수건,1134570.0
블루독우주복,1391594.0
압소바우주복,235738.0
미니로브,153493.0
나이키키즈운동화,1339878.0
뉴발란스키즈운동화,2043453.0
휠라키즈운동화,504271.0
털크록스키즈,526467.0
스케쳐스키즈,455912.0
씨엔타,
아기바라클라바,1136600.0
베어파우키즈,1343595.0
올드솔,1419354.0
아레나키즈수영복,1096156.0
아기수영복,1582384.0
아레나남아수영복,248308.0
주니어래쉬가드,3242077.0
아기래쉬가드,2348207.0
아레나여아수영복,1246438.0
배럴키즈래쉬가드,114888.0
유아수영복,2213750.0
여아래쉬가드,2805511.0
남아실내수영복,878442.0
점퍼루,1019804.0
바운서대여,715959.0
어라운드위고,636229.0
베이비뵨바운서대여,1039375.0
졸리점퍼,758833.0
쏘서대여,540725.0
아기바운서,826230.0
보행기대여,259990.0
졸리점퍼대여,264485.0
유아킥보드,2439068.0
치발기,2158158.0
푸바오인형,4150.0
실바니안,153418.0
스키비디토일렛인형,412971.0
실바니안패밀리,175091.0
그로밋인형,109395.0
젤리캣애착인형,4492519.0
춘식이인형,142180.0
카피바라인형,102114.0
종이인형,19800.0
파라필름,253312.0
소마셈,
원소주기율표,76091.0
소중한글,3638340.0
매직트리하우스,
영어보드게임,151594.0
엘리펀트앤피기,10993.0
한글공부,1258844.0
쇠구슬,18298.0
플라토,165000.0
닭다리살,7555103.0
하누카세육포,979023.0
한우육포,665528.0
사세버팔로윙,2140781.0
햄지대왕소갈비찜,65663200.0
김부각,1913054.0
고추부각,776798.0
명이나물,4994408.0
무말랭이,770431.0
반찬정기배송,3772510.0
궁채장아찌,2593952.0
절임알타리,1087756.0
본죽장조림,1335573.0
푸른회식당,40770315.0
반찬배달,2708757.0
종가집무말랭이,61525.0
홍어무침,781786.0
콩잎,687352.0
오이지,865256.0
종가집김치,6060907.0
안동학가산김치,1944035.0
묵은지,5293228.0
김치10KG,15285875.0
고랭지절임배추,6142407.0
맥심화이트골드,2375703.0
G7커피,257891.0
할로윈사탕,793799.0
꽃보다오징어,692593.0
앵커버터,1170805.0
모짜렐라치즈,7057543.0
슬라이스치즈,3081626.0
스트링치즈,779000.0
라꽁비에뜨버터,339514.0
구워먹는치즈,627986.0
체다치즈,3729625.0
필라델피아크림치즈,580900.0
지라그라타,664940.0
아그리폼지라그라타그라나파다노,664940.0
서울우유버터,3236690.0
무염버터,2061603.0
이즈니버터,3620901.0
부라타치즈,1243499.0
연유,7563397.0
뮤패드K10PLUS,57347.0
아이뮤즈K10PLUS,11993.0
일회용앞치마,3035671.0
강아지유산균,3889813.0
펫생각,456735.0
현금바인더,516646.0
대맛조개,459462.0
사과대추,1722043.0
사우스플레이,218856.0
요즈리틴셀,1054838.0
야마시타AJ,500740.0
야마시타에기,959760.0
YL에기,1136381.0
텅스텐봉돌,321387.0
쪼꼬미에기,3727350.0
르망고수영복,336465.0
차량용소화기,3596894.0
어싱양말,186733.0
오르시떼여성잠옷,
피치기모잠옷,2636839.0
오르시떼남성잠옷,
탑텐잠옷,
캘빈클라인드로즈,19437217.0
아디다스드로즈,460871.0
락포트남성화,7540775.0
족저근막염깔창,6747366.0
지비츠세트,134177.0
평발깔창,5677366.0
발열깔창,53048.0
겨울지비츠,53198.0
캉골백팩,369926.0
캉골메신저백,429608.0
캉골슬링백,792915.0
나이키크로스백,589730.0
로우로우백팩,858000.0
16인치캐리어,5511654.0
루이까또즈카드지갑,35000.0
루이까또즈지갑,35000.0
닥스벨트,877826.0
헤지스벨트,211363.0
리바이스벨트,899924.0
폴로모자,1687615.0
화이트샌즈,
비비안웨스트우드장갑,159876.0
어그장갑,138551.0
질스튜어트장갑,218035.0
캐시미어장갑,219128.0
닥스장갑,237250.0
안경닦이,1553015.0
무테안경,457128.0
바나나핀,395811.0
정수리가발,1751124.0
벨벳머리띠,517821.0
벨벳리본핀,289544.0
닥스스카프,581623.0
카시오수능시계,2779941.0
카시오전자시계,2137751.0
금괴,5508333.0
헤라썬크림,969830.0
헤라선크림,951879.0
닥터지선크림,1362604.0
자작나무수분선크림,291528.0
달바선크림,26065700.0
랑콤선크림,720950.0
톤업선크림,30160295.0
아이오페선크림,539399.0
셀퓨전씨선크림,58798.0
선스틱,11859764.0
썬스틱,9165164.0
이니스프리선크림,35833.0
무기자차선크림,1298594.0
AHC선스틱,1811045.0
썬쿠션,2972857.0
키엘선크림,176225.0
에스쁘아선크림,104328.0
헤라톤업선크림,733871.0
라운드랩자작나무수분선크림,313615.0
바이오더마클렌징워터,554592.0
닥터지폼클렌징,548692.0
클렌징티슈,947646.0
바닐라코클렌징밤,262987.0
센카퍼펙트휩,211082.0
약산성폼클렌징,1493387.0
도브비누,3729686.0
클렌징밀크,4039455.0
필링젤,2691920.0
닥터지필링젤,505511.0
맥스클리닉오일폼,396284.0
조성아레몬청클렌저,2635220.0
클렌징밤,716868.0
퍼펙트휩,226566.0
린제이모델링팩,20324190.0
참존콘트롤크림,107964.0
메디힐마스크팩,1805842.0
라네즈립슬리핑마스크,3644521.0
콜라겐마스크팩,4852916.0
AHC마스크팩,1126893.0
기미패치,437781.0
팔자주름패치,685822.0
주름패치,567975.0
수면팩,2924251.0
리브이셀리프팅팩,100789.0
메디필콜라겐팩,374500.0
토리든마스크팩,123620.0
코팩,1678954.0
헤라블랙쿠션리필,3037247.0
에스티로더더블웨어파운데이션,1899678.0
에스티로더파운데이션,1915753.0
헤라쿠션,4236534.0
클리오킬커버쿠션,619039.0
메이크업포에버UHD파우더,445691.0
설화수퍼펙팅쿠션,1739086.0
입생로랑쿠션리필,764905.0
씨뮤즈매직쿠션,395577.0
하트퍼센트멜팅립스틱,98595.0
바이오더마립밤,1170284.0
하트퍼센트립펜슬,116783.0
슈테인더손톱깎이,1070739.0
손톱영양제,1249186.0
슈테인더,882900.0
미스터그린손톱깎이,1092330.0
수제네일팁,262026.0
내성발톱자가치료,148395.0
미스터그린,659531.0
큐티클오일,401951.0
큐티클오일펜,337140.0
자석젤,441915.0
도브바디워시,708444.0
뉴트로지나바디로션,169533.0
세타필크림,3653706.0
바세린바디로션,783359.0
해피바스바디워시,2159600.0
이솝핸드워시,349496.0
아모스샴푸,1566701.0
반코르맥주효모샴푸,540879.0
닥터포헤어샴푸,421730.0
로마샴푸,570024.0
아모스컬링에센스2X,1593845.0
샴푸바,1235593.0
염색샴푸,2195282.0
헤드앤숄더,2577592.0
밀본염색약,1786854.0
로레알염색약,1818534.0
미장센염색약,838095.0
일회용염색약,294705.0
일회용염색,353102.0
폴미첼스프레이,728353.0
밀본니제르홀드핏베일스프레이,374257.0
흑채,1101129.0
씨드비물염색,2851767.0
순수염색약,930546.0
TS착한염색,466577.0
PPD없는염색약,225970.0
1회용염색약,294705.0
라라츄헤어쿠션,456887.0
제니하우스염색약,336303.0
시세이도염색약,800881.0
오토노우즈스탠드업,101167.0
리파하트브러쉬,594241.0
아베다브러쉬,802721.0
피지핀셋,1080711.0
가닥속눈썹,2670129.0
더툴랩,
미간주름패치,273387.0
MTS롤러,781370.0
남성청결제,2990404.0
우르오스올인원,920942.0
우르오스,969236.0
우르오스스킨밀크,964841.0
남자올인원로션,3453569.0
비오템옴므,1698251.0
헤라옴므,2959897.0
아이오페맨올인원,281552.0
쉐이빙폼,1284720.0
보닌남성화장품,174157.0
우르오스스킨로션,654818.0
랩시리즈,589953.0
랩시리즈워터로션,459948.0
아이오페맨,847760.0
남자립밤,351877.0
오페라글라스,1297354.0
단망경,212185.0
콘서트망원경,1402565.0
니쿠라망원경,518651.0
눈썹정리기,4390401.0
토끼고기,239716.0
흑염소고기,2883241.0
메추리,336940.0
메추리구이,602237.0
메추리고기,353869.0
말고기,108584.0
기러기고기,165171.0
타조고기,1035105.0
흑염소수육,5912966.0
에피큐리언도마,1036486.0
실리콘도마,654156.0
TPU도마,2356369.0
도블레도마,5015773.0
모도리도마,2267083.0
월넛도마,1607600.0
캄포도마,678933.0
이유식도마,590836.0
느티나무도마,876576.0
소렉스도마,14595.0
실바니안블라인드백,40523.0
리본돌,222003.0
개비의매직하우스,212356.0
똘똘이,79601.0
리틀미미,202348.0
파올라레이나,363441.0
실바니안크리스마스,150158.0
리틀미미산리오,267257.0
토토로인형,92083.0
실바니안이층집,10450.0
폴리포켓,42776.0
콩순이인형,175396.0
잔망루피인형,62745.0
수학보드게임,37216.0
해커스토익1000제,
오르다,7333.0
리더스북,35825.0
바바파파클래식,
제이와이북스,17116.0
초등학생우산,1037464.0
하스,2140612.0
챔피언1250,16000.0
햄스터리빙박스,1731955.0
햄스터은신처,219862.0
