relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review,zzim_10,zzim_50,zzim_100,zzim_1000
아기겉싸개,1250.0,7801.0,6.24,34847.0,613870.0,4,5,5,2,22,6,9,3,15828,395,25,9,6,0
현관문종,1760.0,89872.0,51.06,13016.0,614303.0,4,4,5,0,14,1,19,6,21277,531,25,4,9,2
반스체커보드,6830.0,29368.0,4.3,54971.0,614432.0,0,1,9,1,26,5,9,0,4339,108,30,2,8,0
어린이스마트워치,2800.0,45215.0,16.15,31486.0,614612.0,4,3,1,0,33,4,2,1,2127,53,31,4,5,0
키즈스마트워치,1960.0,45215.0,23.07,31486.0,614612.0,4,3,1,0,33,4,2,1,2124,53,31,4,5,0
소매치기방지가방,2100.0,21482.0,10.23,29308.0,614892.0,5,10,8,0,36,1,3,0,872,21,33,3,4,0
보타니컬아트,1420.0,42652.0,30.04,27751.0,615058.0,1,1,0,0,38,0,1,1,9028,225,39,0,0,1
진도구기자,2540.0,2737.0,1.08,32793.0,615326.0,0,3,0,1,30,1,9,0,2710,67,36,3,1,0
얼라이먼트스틱,1920.0,12636.0,6.58,12953.0,615473.0,1,0,5,1,30,1,6,3,11972,299,37,0,3,0
화이텐,1370.0,7748.0,5.66,87393.0,615700.0,0,4,0,0,35,2,2,1,4324,108,38,1,1,0
청계란,3720.0,7661.0,2.06,22655.0,616431.0,20,12,8,0,11,9,16,4,13238,330,30,3,7,0
차량용맥세이프충전기,5450.0,43197.0,7.93,27269.0,616466.0,2,5,6,1,11,6,18,5,19303,482,23,8,9,0
아기치실,1310.0,3657.0,2.79,7175.0,616518.0,2,3,8,0,29,2,3,6,23623,590,34,5,1,0
터미타임장난감,3690.0,1925.0,0.52,26132.0,616933.0,5,8,9,1,27,2,8,3,6859,171,26,5,7,2
새총,9290.0,61811.0,6.65,18011.0,618139.0,1,2,5,1,23,8,7,2,4732,118,34,2,4,0
육아일기,2630.0,14286.0,5.43,13980.0,618270.0,7,5,4,1,28,2,7,3,8757,218,31,1,8,0
에드학토치,7610.0,637.0,0.08,73687.0,618600.0,1,2,3,1,40,0,0,0,22,0,39,0,1,0
곰표후라이드오징어튀김,3750.0,1640.0,0.44,25030.0,619422.0,7,2,5,2,32,3,5,0,2479,61,34,0,6,0
스피도수경,6670.0,49862.0,7.48,60935.0,619646.0,4,2,9,1,32,2,6,0,2646,66,31,3,5,1
도그페이스,3590.0,5215.0,1.45,24270.0,619682.0,11,7,5,2,32,3,5,0,1290,32,29,2,8,1
피아노의자,3510.0,90638.0,25.82,84680.0,620685.0,1,1,2,1,28,6,4,2,5478,136,38,0,2,0
계란보관함,5380.0,103894.0,19.31,6714.0,621218.0,4,6,7,1,14,2,18,6,18509,462,20,4,13,3
카시오계산기,11350.0,82579.0,7.28,17538.0,621265.0,2,3,2,0,22,4,9,5,18188,454,30,3,7,0
맥스귀마개,5920.0,8309.0,1.4,7317.0,621771.0,4,6,9,1,21,4,10,5,53424,1335,27,1,10,2
HK416,4090.0,6200.0,1.52,43612.0,622613.0,4,5,7,1,34,1,3,2,4073,101,33,3,4,0
수동혈압계,2620.0,3876.0,1.48,50644.0,622777.0,0,3,1,0,34,1,4,1,2439,60,38,0,2,0
조말론캔들,4020.0,11590.0,2.88,94932.0,623000.0,0,2,2,0,34,1,4,1,4178,104,37,0,3,0
벽마감재,1040.0,18941.0,18.21,33380.0,623150.0,4,0,0,0,40,0,0,0,33,0,38,1,1,0
대방석,2430.0,47272.0,19.45,89628.0,624613.0,2,2,4,0,27,4,8,1,4113,102,32,4,4,0
테이블철제다리,1660.0,72013.0,43.38,38340.0,625527.0,4,3,7,0,19,6,12,3,14377,359,23,6,10,1
차량용공기주입기,1060.0,70184.0,66.21,44700.0,626188.0,0,2,3,1,30,1,8,1,3477,86,39,1,0,0
시쿠,2020.0,21326.0,10.56,25908.0,626725.0,1,0,1,0,38,1,1,0,735,18,39,0,1,0
폴로손수건,3020.0,2762.0,0.91,22668.0,626748.0,4,14,1,0,32,1,6,1,9486,237,34,0,6,0
건조기볼,2370.0,29217.0,12.33,7093.0,627095.0,5,9,5,0,21,3,12,4,18210,455,24,5,10,1
레몬착즙기,4040.0,93074.0,23.04,12893.0,627451.0,3,3,8,0,21,5,12,2,8703,217,33,2,5,0
은박돗자리,1780.0,29697.0,16.68,6567.0,627637.0,1,2,3,2,28,6,4,2,5638,140,36,1,3,0
구워먹는치즈,13580.0,10045.0,0.74,13242.0,627986.0,5,2,5,1,17,6,12,5,24204,605,28,7,5,0
압소바내의,5940.0,90056.0,15.16,22838.0,629458.0,0,1,7,0,38,1,1,0,559,13,34,2,4,0
학예회응원봉,2790.0,1101.0,0.39,9471.0,630650.0,20,12,4,0,28,1,6,5,31754,793,26,4,10,0
콜팝용기,2330.0,3144.0,1.35,30033.0,631282.0,2,0,6,1,35,2,3,0,1203,30,40,0,0,0
소토레귤레이터,4560.0,7152.0,1.57,59661.0,631875.0,4,1,8,0,27,3,10,0,2709,67,30,3,7,0
