relative_keyword,total_search,total_store,competitive_rate,avg_price
치질좌욕기,3690.0,15197.0,4.118428184281843,71579.0
좌훈기,3520.0,31543.0,8.961079545454545,71493.0
원적외선좌욕기,1680.0,3253.0,1.936309523809524,151703.0
임산부좌욕기,1180.0,21713.0,18.40084745762712,13106.0
좌욕대야,2210.0,17398.0,7.872398190045248,9329.0
좌욕,10550.0,83918.0,7.954312796208531,62308.0
전기찜질팩,10480.0,79438.0,7.579961832061069,33567.0
무릎찜질기,4830.0,52576.0,10.885300207039338,38234.0
허리찜질기,6330.0,100025.0,15.80173775671406,38299.0
어깨찜질기,5720.0,81517.0,14.251223776223776,42366.0
온수찜질기,6660.0,37382.0,5.612912912912913,20812.0
온열돔,3500.0,11699.0,3.3425714285714285,403291.0
어깨찜질팩,4700.0,101807.0,21.661063829787235,23769.0
눈찜질팩,9790.0,38189.0,3.900817160367722,11778.0
황토찜질팩,9640.0,67193.0,6.9702282157676345,5988.0
황토찜질기,2130.0,39646.0,18.613145539906103,38569.0
배찜질기,4450.0,58199.0,13.078426966292136,42407.0
허리찜질팩,4580.0,103688.0,22.639301310043667,17345.0
무릎찜질팩,1660.0,45343.0,27.315060240963856,19423.0
미백치약,21540.0,45817.0,2.127065923862581,11999.0
혀클리너,17400.0,76044.0,4.370344827586207,7818.0
이갈이마우스피스,15220.0,9449.0,0.6208278580814718,20338.0
잇몸치약,10170.0,88029.0,8.65575221238938,11925.0
틀니세정제,5540.0,8282.0,1.4949458483754512,14539.0
테라브레스,20070.0,7997.0,0.3984554060787245,26501.0
고체치약,21430.0,7203.0,0.3361175921605226,12559.0
입냄새치약,2670.0,34589.0,12.954681647940076,19808.0
천연치약,1600.0,10521.0,6.575625,16945.0
치과칫솔,5300.0,69732.0,13.156981132075472,12409.0
대나무칫솔,6100.0,40597.0,6.655245901639344,2790.0
켄트칫솔,22720.0,19487.0,0.8577024647887324,24282.0
온열안대,15460.0,47927.0,3.10006468305304,15519.0
렌즈세척액,5420.0,8896.0,1.6413284132841328,15324.0
온열수면안대,1530.0,25741.0,16.824183006535947,14598.0
생리식염수,15680.0,1725.0,0.1100127551020408,13902.0
눈온열안대,1020.0,41798.0,40.97843137254902,16336.0
식염수,14400.0,9495.0,0.659375,15578.0
안경세척기,4130.0,90689.0,21.95859564164649,43054.0
보스톤심플러스,2970.0,927.0,0.3121212121212121,31869.0
에이오셉,3100.0,358.0,0.1154838709677419,21040.0
리뉴,11670.0,107864.0,9.242844901456726,13859.0
무지외반증교정기,14060.0,12519.0,0.890398293029872,19061.0
전동발각질제거기,2350.0,37617.0,16.00723404255319,27596.0
발뒤꿈치각질제거,9390.0,78099.0,8.317252396166134,11025.0
공기압마사지기,2840.0,75301.0,26.51443661971831,146544.0
지압슬리퍼,20670.0,129442.0,6.262312530237058,14912.0
공기압다리마사지기,7230.0,53480.0,7.396957123098202,154233.0
건식족욕기,20020.0,46520.0,2.323676323676324,129432.0
손마사지기,24270.0,36044.0,1.485125669550886,68691.0
눈마사지기,22440.0,86278.0,3.844830659536542,48801.0
괄사마사지기,13160.0,71580.0,5.439209726443769,38573.0
안마매트,6060.0,114673.0,18.92293729372937,215122.0
소형안마의자,4330.0,15425.0,3.5623556581986144,391854.0
승모근마사지기,6150.0,62340.0,10.13658536585366,48500.0
바디괄사,2710.0,43021.0,15.87490774907749,22590.0
슈케이스,6470.0,42841.0,6.621483771251932,9517.0
섬유탈취제,19960.0,97569.0,4.888226452905812,10119.0
곰팡이제거제,22210.0,125925.0,5.669743358847367,10898.0
바퀴벌레약,17420.0,33944.0,1.948564867967853,16079.0
옷장방향제,5110.0,43972.0,8.60508806262231,11195.0
피톤치드스프레이,5350.0,19994.0,3.737196261682243,17691.0
